"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"BPH-1",0.455008781250976,0.523812137138498,0.335634301860366,0.527435759009818,0.272970743234132,0.999934926637472,0.547457374377306,0.333898165730467,0.499867986967465,0.827061983656081,0.596668726090948,0.58801718819133,0.934597465890608,0.199932374182987,0.760026901095376,0.733623150698305,0.519570161970855,0.525227428483346,0.63412584788302,0.333176220813932,0.297223124216604,0.595909285001089,0.160175670444943,0.587053124660985,0.124033707315176,0.405411672696775,0.383160882409614,0.520304150251309,0.552461138130086,0.672049243946374,0.86733708211178
"DU-145",0.13709064952575,0.65025282193195,0.57157556275263,0.301250202352945,0.581913939018286,0.999900905855943,0.317563099087264,0.051386362273434,0.407485444391202,0.782821966439661,0.706647878195336,0.341876257686084,0.827343379705806,0.294201451669914,0.457922030930056,0.790832534468464,0.53532929589717,0.697119869550561,0.571942480071604,0.800720873144784,0.203010823817932,0.867266257108916,0.482723614549024,0.733690521735624,0.75925543219786,0.531776766744114,0.542447411325984,0.417567459838298,0.615437183020316,0.600782807721748,0.852515901027794
"LNCaP-Clone-FGC",0.989459387391044,0.677574595449334,0.106231902249662,0.259825313087823,0.750801060408937,0.994782829035694,0.779690258412639,0.733628033937826,0.434325618098509,0.216292680959868,0.880947262822101,0.00301143354092621,0.692935726056934,0.44690467041094,0.46593292453755,0.493557652373545,0.787431330384987,0.0620558630646313,0.243487476552089,0.577013884467581,0.627633485327649,0.447645064381333,0.429820806595516,0.367307500409398,0.417408874011468,0.466443911652842,0.471037838869896,0.578437136321175,0.399066945475231,0.535720893190424,0.659323445309159
"PC-3",0.492995773117003,0.45795807326175,0.444301672440704,0.34661201959092,0.506500552251102,0.999717510144749,0.393463421950518,0.321530679481096,0.222662819585374,0.653453128321092,0.707509769053883,0.213054169458462,0.621591281692688,0.495249174043389,0.488757646274102,0.513967964479558,0.0579934965145114,0.552863047687729,0.525561906338536,0.088590528253363,0.101707280134303,0.000677212048602882,0.553881246003004,0.471228927233852,0.63502964344582,0.605778458744256,0.419528742938431,0.387653669766995,0.417005545750746,0.427715533662483,0.804956881093621
